id,"name","code","conversion_code",community_id,ps_x,ps_y,ps_size,"name_ar","name_de","name_el","name_en","name_es","name_fr","name_he","name_hi","name_it","name_ja","name_ko","name_nl","name_ru","name_pt","name_tr","name_zh_cn"
22,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; crustaceans, in shell, cooked by steaming or by boiling in water, whether or not chilled, frozen, dried, salted or in brine; flours, meals and pellets of crusta","0306","0360",106,2106.999756,2883.618896,17.330566,"القشريات","Krebstiere","Μαλακόστρακα","Crustaceans","Crustáceos","Crustacés","סרטנים","क्रसटेशियन","Crostacei","甲殻類","갑각류","Schaaldieren","Ракообразные","Crustáceos","Kabuklular","甲壳类动物"
23,"Molluscs, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; aquatic invertebrates other than crustaceans and molluscs, live, fresh, chilled, frozen, dried, salted or in brine; flours, meals and pellets of aquatic invertebra","0307","0360",106,2140.40564,2862.322021,16.112061,"الرخويات","Weichtiere","Μαλάκια","Molluscs","Moluscos","Mollusques","רכיכות","मोलस्क्स","Molluschi","軟体​​動物","연체 동물","Weekdieren","Моллюски","Moluscos","Yumuşakçalar","软体动物"
24,"Milk and cream, not concentrated nor containing added sugar or other sweetening matter","0401","0223",106,2224.730957,2493.444092,15.963379,"البان وقشدة","Milch und Rahm","Γάλα και κρέμα γάλακτος","Milk and cream","Leche y nata","Lait et crème","חלב ושמנת","दूध और क्रीम","Latte e panna","ミルクとクリーム","우유와 크림","Melk en room","Молоко и сливки","Leite e nata","Süt ve krema","牛奶和奶油"
25,"Milk and cream, concentrated or containing added sugar or other sweetening matter","0402","0224",106,2395.734253,2582.66394,17.67749,"حليب وقشدة، مركزة","Milch und Rahm, eingedickt","Γάλα και κρέμα γάλακτος, συμπυκνωμένα","Milk and cream, concentrated","La leche y crema, se concentró","Lait et crème, concentrés","חלב ושמנת, מרוכזים","दूध और क्रीम केंद्रित,","Latte e crema di latte, concentrati","ミルク及びクリーム、濃縮","우유와 크림, 집중","Melk en room, geconcentreerd","Молоко и сливки, сгущенные","Leite e nata, concentrados","Süt ve krema, konsantre","牛奶和奶油，集中"
26,"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or containing added sugar or other sweetening matter or flavored or containing added fruit, nuts or cocoa","0403","0223",106,2113.090698,2459.756348,15.49585,"المخمرة الحليب ومنتجات كريم","Fermentierte Milch und Sahne Produkte","Από ζύμωση του γάλακτος και κρέμας","Fermented milk and cream products","Leche fermentada y crema","Le lait fermenté et les produits à la crème","חלב מותסס מוצרי שמנת","किण्वित दूध और क्रीम उत्पादों","Latte fermentato e prodotti crema","発酵乳、クリーム製品","발효 우유와 크림 제품","Gefermenteerde melk en room producten","Кисломолочный и кремовые изделия","Leite fermentado e cremes","Fermente süt ve krema ürün","发酵牛奶和奶油制品"
27,"Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, not elsewhere specified or included","0404","0224",106,2126.568848,2687.986328,15.39502,"مصل اللبن","Molke","Ορός γάλακτος","Whey","Suero","Petit lait","מי גבינה","मट्ठा","Siero","ホエー","유장","Wei","Сыворотка","Whey","Kesilmiş sütün suyu","乳清"
28,"Butter and other fats and oils derived from milk; dairy spreads","0405","0230",106,2051.638,2685.10083,15.76355,"زبدة","Butter","Βούτυρο","Butter","Mantequilla","Beurre","חמאה","मक्खन","Burro","バター","버터","Boter","Масло","Manteiga","Tereyağı","黄油"
29,"Cheese and curd","0406","0240",106,2349.778076,2486.792358,18.884277,"جبن طازج","Frischkäse","Φρέσκο ​​τυρί","Fresh cheese","Queso fresco","Le fromage frais","טרי וגבינה","ताजा पनीर","Formaggio fresco","フレッシュチーズ","신선한 치즈","Verse kaas","Свежий сыр","Queijo fresco","Taze peynir","新鲜奶酪"
30,"Birds eggs, in shell, fresh, preserved or cooked","0407","0251",106,2177.997925,2226.476562,15.270264,"الطيور والبيض، في قذيفة","Vogeleier in der Schale","Αυγά πτηνών με το τσόφλι τους","Birds eggs, in shell","Aves huevos con cáscara","Oeufs d'oiseaux, en coquilles","עופות וביצים, ב פגז","खोल में पक्षियों के अंडे,","Uova di volatili, in guscio","シェルの鳥の卵、","셸의 새들의 계란,","Vogels eieren in de schaal","Птицы яйца в скорлупе","Aves ovos, com casca","Kabuklu Kuşlar yumurta,","鸟蛋，在shell"
31,"Birds' eggs, not in shell, and egg yolks, fresh, dried, cooked by steaming or by boiling in water, molded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter","0408","0252",106,NULL,NULL,NULL,"جفت صفار البيض","Eigelb getrocknet","Κρόκοι αυγών, αποξεραμένα","Egg yolks dried","Las yemas de huevo seca","Les jaunes d'oeufs séchés","חלמונים מיובשים","अंडे yolks सूख","Tuorli essiccati","卵黄を乾燥","계란 제임스 03은 건조","Eigeel gedroogd","Яичные желтки сушат","Gemas de ovos secas","Yumurta sarısı kurutulmuş","蛋黄干"
32,"Amber or darker","0409","0616",106,2585.086792,2111.055786,15.031006,"عسل","Honig","Μέλι","Honey","Miel","Miel","דבש","शहद","Miele","ハニー","꿀","Honing","Мед","Mel","Bal","蜂蜜"
33,"Edible products of animal origin, not elsewhere specified or included","0410","0980",106,NULL,NULL,NULL,"منتجات صالحة للأكل من أصل حيواني","Genießbare Waren tierischen Ursprungs","Προϊόντα βρώσιμα ζωικής προέλευσης","Edible products of animal origin","Productos comestibles de origen animal","Produits comestibles d'origine animale","מוצרים מן החי הראויים למאכל","जानवर मूल के खाद्य उत्पादों","Prodotti commestibili di origine animale","食用の動物性生産品","동물의 원산지 식용 제품","Eetbare producten van dierlijke oorsprong","Пищевые продукты животного происхождения","Produtos comestíveis de origem animal","Yenilebilir hayvansal menşeli ürünler","食用动物产品"
34,"Human hair, unworked, whether or not washed or scoured; waste of human hair","0501","2919",106,NULL,NULL,NULL,"الإنسان الشعر، وخام","Menschenhaare, roh","Ανθρώπινα μαλλιά, μη κατεργασμένα","Human hair, unworked","Cabello en bruto","Cheveux bruts","שיער אדם, חצוב","मानव बाल, unworked","Capelli greggi","人間の毛髪、未加工","인간의 머리, unworked","Menselijk, onbewerkt","Волосы человека, необработанные","Cabelos em bruto","İnsan saçı, işlenmemiş","人的头发，未加工"
35,"Pigs', hogs' or boars' bristles and hair; badger hair and other brushmaking hair; waste of such bristles or hair","0502","2919",106,NULL,NULL,NULL,"شعيرات، والشعر من الخنازير، والخنازير أو الخنازير","Borsten, Haare von Schweinen von Hausschweinen oder Wildschweinen","Τρίχες, τρίχες των γουρουνιών χοίρων, ή αγριόχοιρου","Bristles, hair of pigs, hogs or boars","Las cerdas, pelos de cerdos, cerdos o jabalíes","Soies de porc ou de sanglier","זיפים, שיער של חזירים, חזירים או חזירי","Bristles, सूअर, हॉग, या सुअरों की बाल","Setole, capelli di maiali, maiali o cinghiali","豚、豚やイノシシの毛を毛",", 돼지, 돼지 또는 boars의 머리카락을 Bristles","Haren, haar van varkens, varkens of van wilde zwijnen","Щетина, волосы свиней, свиней и кабанов","Cerdas, pêlos de porcos, porcos ou javalis",", Domuz, domuz veya yaban domuzu saç kılları","猪鬃，猪，猪或野猪的头发"
36,"Horsehair, waste","0503","2685",106,NULL,NULL,NULL,"شعر الخيل","Rosshaar","Χοντρότριχες","Horsehair","Crin","Crin","שיער סוס","घोड़े का बाल","Crine","馬の毛","말총","Paardenhaar","Конский волос","Crina","Atkılı","马鬃"
37,"Guts, bladders and stomachs of animals except fish","0504","2919",106,2224.986694,2798.677246,15.420166,"أحشاء الحيوانات باستثناء السمك","Guts von Tieren mit Ausnahme von Fischen","Έντερα ζώων εκτός από τα ψάρια","Guts of animals except fish","Tripas de animales, excepto el pescado","Entrailles des animaux à l'exception des poissons","האומץ של בעלי חיים, למעט דגים","पशुओं की मछली को छोड़कर हिम्मत","Guts di animali tranne i pesci","魚以外の動物の内臓","생선을 제외한 동물의 배짱","Guts van dieren behalve vis","Кишки животных, кроме рыб","Entranhas de animais, exceto peixes","Balık dışındaki hayvanlar Guts","除了鱼动物内脏"
38,"Skins and other parts of birds, with their feathers or down, feathers and parts of feathers(whether or not with trimmed edges) and down, not further worked than cleaned, disinfected or treated for preservation; powder and waste of feathers or parts of fea","0505","2919",106,NULL,NULL,NULL,"الريش وهبوطا لحشو","Federn und Daunen Füllung","Φτερά και πούπουλα για το παραγέμισμα","Feathers and down for stuffing","Plumas y plumones para relleno","Plumes et duvet pour le rembourrage","נוצות ולמטה למילוי","पंख और नीचे भराई के लिए","Piume e giù per l'imbottitura","詰め物のための羽毛とダウン","깃털과 다운 충전재를위한","Veren en dons voor de vulling","Перья и пух для набивки","Penas e para baixo para enchimento","Tüyler ve aşağı doldurma için","羽毛和羽绒填充"
39,"Bones and horn-cores, unworked, defatted, simply prepared (but not cut to shape), treated with acid or degelatinized; powder and waste of these products","0506","2911",106,NULL,NULL,NULL,"الكولاجين من عظام معالجة بحمض","Collagen von mit Säure behandelte Knochen","Το κολλαγόνο του κόκαλα επεξεργασμένα με οξύ","Collagen of bones treated with acid","El colágeno de huesos tratados con ácido","Collagène d'os traitée avec de l'acide","קולגן עצמות שטופלו בחומצה","हड्डियों के कोलेजन एसिड के साथ इलाज किया","Collagene di ossa trattata con acido","酸で処理した骨のコラーゲン","뼈를 콜라겐은 산성로 치료","Collageen van met zuur behandelde beenderen","Коллаген кости, обработанные кислотой","O colagénio de ossos tratado com ácido","Kemiklerin Kollajen asit ile muamele","酸处理的骨胶原"
40,"Ivory, tortoise-shell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and beaks, unworked or simply prepared but not cut to shape; powder and waste of these products","0507","2911",106,NULL,NULL,NULL,"والعاج، والسلحفاة، قذيفة، عظمة الحوت والشعر عظمة الحوت، قرون، قرون، حوافر، أظافر، مخالب ومناقير","Elfenbein, Schildpatt, Fischbein Fischbein, Hörner, Geweihe, Hufe, Klauen, Krallen und Schnäbel","Ελεφαντόδοντο, χελωνόστρακο, κεράτινα και τα γένια, κέρατα κάθε είδους, οπλές, νύχια κάθε είδους και ράμφη","Ivory, tortoise-shell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and beaks","Marfil, concha de tortuga, barbas de ballena y barbas, cuernos, astas, pezuñas, uñas, garras y picos","Ivoire, écaille de tortue, fanons de baleine et les cheveux baleine, cornes, bois, sabots, ongles, griffes et becs","שנהב, שריון צב, עצם לוויתן והשיער לוויתן, הקרניים, קרניים, פרסות, ציפורניים, טפרים ומקורים","आइवरी, कछुआ खोल, whalebone और whalebone बाल, सींग, सींग, खुर, नाखून, पंजे और चोंच","Avorio, tartaruga, balena e capelli balena, corna, palchi, zoccoli, unghie, artigli e becchi","アイボリー、かめの甲、ホエールボーンとホエールボーンヘア、角、枝角、ひづめ、爪、爪とくちばし","상아, 귀갑, 고래 수염과 그 제품의 머리, 뿔, 사슴뿔, 발굽, 손톱, 발톱과 부리도","Ivoor, schildpad, walvisbaarden balein, horens, geweien, hoeven, nagels, klauwen en snavels","Слоновая кость, панцири черепах, ус китовый ус и волосы, рога, оленьи рога, копыта, ногти, когти и клювы","Marfim, carapaças de tartaruga, barbas e cabelos baleia, chifres, galhadas, cascos, unhas, garras e bicos","Fildişi, kaplumbağa kabuğu, balina ve balina saç, boynuz, boynuzlar, toynakları, tırnaklar, pençeler ve gagalar","象牙，龟壳，鲸须及鲸须发，兽角，鹿角，蹄，指甲，爪，喙"
41,"Coral and similar materials, unworked or simply prepared but not otherwise worked; shells of molluscs, crustaceans or echinoderms and cuttlebone, unworked or simply prepared but not cut to shape, powder and waste thereof","0508","2911",106,NULL,NULL,NULL,"مرجان، صدف والحبار العظام، الخ","Koralle, Muschel, Tintenfisch Knochen, etc.","Coral, κοχύλια, σουπιών οστών, κ.λπ.","Coral, seashell, cuttle bone, etc","Coral, concha, hueso sepia, etc","Coral, coquillage, os de seiche, etc","אלמוגים, צדפים, עצמות cuttle, וכו '","कोरल, शंख, चाकू हड्डी, आदि","Corallo, conchiglia, osso seppie, etc","サンゴ、貝殻、カトルの骨など","산호, 조개, 오징어 뼈 등","Koraal, zeeschelp, inktvis bot, etc","Coral, раковины, кости каракатицы, и т.д.","Coral, madrepérola, osso chocos, etc","Coral, deniz kabuğu, ahtapot kemik, vb","珊瑚，贝类，墨鱼骨等"
42,"Sponges, natural, of animal origin","0509","2919",106,NULL,NULL,NULL,"الإسفنج ذات الأصل الحيواني","Schwämme tierischen Ursprungs","Σφουγγάρια ζωικής προέλευσης","Sponges of animal origin","Las esponjas de origen animal","Eponges d'origine animale","ספוגים מן החי","पशु मूल के स्पंज","Spugne di origine animale","動物由来のスポンジ","동물의 원산지 스폰지","Sponsen","Губки животного происхождения","Esponjas de origem animal","Hayvansal kaynaklı Süngerler","海绵的动物的起源"
43,"Ambergris, castoreum, civet and musk; cantharides; bile, whether or not dried; glands and other animal products used in the preparation of pharmaceutical products, fresh, chilled, frozen or otherwise provisionally preserved:","0510","2919",106,NULL,NULL,NULL,"عنبر، الزباد، والمسك للاستخدام الأدوية","Ambra, Zibet, Moschus für die pharmazeutische Anwendung","Άμβρα, ζήβεθο, μόσχου για φαρμακευτική χρήση","Ambergris, civet, musk for pharmaceutical use","Ambergris, algalia, almizcle para uso farmacéutico","Ambre gris, la civette, de musc à usage pharmaceutique","ענבר אפור, זבד, מושק לשימוש תרופות","दवा उपयोग के लिए कस्तूरी, सीविट एम्बरग्रीस,","Ambra grigia, zibetto, muschio per uso farmaceutico","医療用にアンバー、シベット、ムスク","의약품 사용을위한 금과, 사향 고양이의 향, 사향","Grijze amber, civet, muskus voor farmaceutisch gebruik","Амбра, куница, мускуса для использования в фармацевтических целях","Ambergris, Civet, almíscar para uso farmacêutico","Farmasötik kullanım için amber, misk, misk","龙涎香，灵猫香，麝香的药品使用"
44,"Animal products not elsewhere specified or included; dead animals of chapter 1 or 3, unfit for human consumption","0511","2919",106,2174.044556,2735.145142,15.11792,"المنتجات الحيوانية غير محددة في مكان آخر","Waren tierischen Ursprungs, anderweit","Ζωικά προϊόντα που δεν κατονομάζονται","Animal products not elsewhere specified","Productos de origen animal no expresados","Produits d'origine animale, non spécifiés ailleurs","בעלי חיים מוצרים שאינם מפורטים במקום אחר","पशु उत्पादों के निर्दिष्ट कहीं नहीं","Prodotti di origine animale, non nominati","他の場所で指定されていない動物製品","다른 곳에서 지정되지 않은 동물 제품","Producten van dierlijke oorsprong niet elders","Продукты животного происхождения, не включенные в другие категории","Produtos de origem animal, não especificados","Başka yerde belirtilmeyen Hayvansal ürünler","未列名的动物产品"
45,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, in growth or in flower; chicory plants and roots other than roots of heading 1212","0601","2926",116,2059.967041,2840.509277,15.074219,"المصابيح، والدرنات، corms، تيجان، وجذور، نائمة","Zwiebeln, Knollen, Luftwurzeln und Wurzelstöcke, ruhend","Βολβοί, κόνδυλοι, ριζώματα, κορώνες και ριζώματα γενικά, σε φυτική νάρκη","Bulbs, tubers, corms, crowns and rhizomes, dormant","Bulbos, tubérculos, turiones y rizomas, en reposo","Bulbes, tubercules, racines tubéreuses, griffes et rhizomes, en repos végétatif","פקעות, שורשים, corms, קני שורש, כתרים רדומים","बल्ब, कंद, corms, मुकुट और rhizomes, निष्क्रिय","Bulbi, tuberi, zampe e rizomi, dormienti","球根、塊茎、球茎、冠根及び根茎、休眠","전구, tubers, corms, 크라운과 rhizomes, 휴지","Bollen, knollen, kronen en wortelstokken, in rusttoestand","Луковицы, клубни, клубнелуковицы, коронки и корневища, спящие","Bulbos, tubérculos, rizomas e rizomas, em repouso vegetativo","Çiçek soğanları, yumrular, yumru, kuron ve rizomlar, uykuda","鳞茎，块茎，球茎，冠芽及匍匐茎，休眠"
46,"Other live plants (including their roots), cuttings and slips; mushroom spawn","0602","2926",116,2653.636963,2900.631592,15.964355,"الحية النباتات ذات الجذور","Lebende Pflanzen mit Wurzeln","Τα ζωντανά φυτά με ρίζες","Live plants with roots","Las plantas vivas con raíces","Les plantes vivantes avec racines","צמחים חיים עם שורשים","जड़ों के साथ लाइव पौधों","Piante vive con radici","ルーツを持つ生きている植物","뿌리와 라이브 식물","Levende planten met wortels","Живые растения с корнями","Plantas vivas com raízes","Kökleri ile Canlı bitkiler","活的植物与根"
47,"Cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared","0603","2927",116,2901.499634,2107.953369,16.002686,"الزهور الطازجة","Schnittblumen, frisch","Κομμένα άνθη, νωπά","Cut flowers, fresh","Flores cortadas, frescas","Les fleurs coupées, fraîches","זרי פרחים טריים,","कट फूल, ताजा","Fiori recisi, freschi","新鮮な切り花、","신선한 컷 꽃,","Afgesneden bloemen, vers","Срезанные цветы, свежие","Flores cortadas, frescas","Taze kesme çiçek,","鲜切花，鲜"
